Page URL,Page Title,ILR,Raw ILR,Unique Pageviews,Crawl Depth,HTTP Status Code,"Page (HTML) Load Time, sec",Schema.org (Microdata),Schema.org (JSON-LD),Open Graph,Twitter Cards,Microformats,Canonicalization,In sitemap,Incoming Internal Links,Outgoing Internal Links,Outgoing External Links,AMP link,Hreflang Links,Hreflang Issues,JS and CSS Number,"JS and CSS Size, KB",Issues,Description,Blocked AI search bots
https://www.suryassolar.com/,Surya's Solar - Cuddalore’s trusted residential solar expert,100,0.03620688988347717,n/a,0,200,0.015,0,1,1,0,0,Canonical to other page,0,39,7,6,0,-,-,16,236,1,"leading residential solar installation in cuddalore. expert 24-hour installation, 25-year warranty, government subsidy assistance.",
https://www.suryassolar.com/about,About Us - Surya's Solar | Cuddalore’s trusted residential solar expert,100,0.03620688988347717,n/a,1,200,0.099,0,0,1,0,0,Canonical to other page,0,39,7,6,0,-,-,13,154,3,"10+ years experience & 100kw+ installed. we are cuddalore's authorized solar experts. partners with tata power, waaree & adani. see our completed projects.",
https://www.suryassolar.com/calc,Solar Savings Calculator | Surya's Solar,100,0.03620688988347717,n/a,1,200,0.08,0,0,0,0,0,Canonical to other page,0,39,7,6,0,-,-,16,226,2,free solar savings calculator 2025. compare 3kw vs 5kw roi. calculate exact electricity bill savings & payback period for tamil nadu / puducherry homes.,
https://www.suryassolar.com/contact,Contact Us - Surya's Solar | Cuddalore,100,0.03620688988347717,n/a,1,200,0.014,0,0,1,1,0,Canonical to other page,0,39,7,6,0,-,-,13,153,2,"visit surya's solar in cuddalore (kondur). call +91 7904369094 for instant pricing & site visit booking. we serve cuddalore, panruti, neyveli & puducherry.",
https://www.suryassolar.com/blog,Solar Energy Blog | Surya's Solar,96,0.036140662746611894,n/a,1,200,0.013,0,0,0,0,0,Canonical to other page,0,39,39,6,0,-,-,14,154,1,"expert solar guides: price breakdowns, 3kw vs 5kw comparisons, pm surya ghar subsidy details, and maintenance tips for cuddalore homeowners.",
https://www.suryassolar.com/privacy-policy,Privacy Policy - Surya's Solar,92,0.028666162159312968,n/a,1,200,0.102,0,0,0,0,0,-,0,38,7,6,0,-,-,13,151,1,your privacy matters. learn how surya's solar protects your data during free consultations and subsidy applications. we never sell your info.,
https://www.suryassolar.com/terms-conditions,Terms & Conditions - Surya's Solar,92,0.028666162159312968,n/a,1,200,0.092,0,0,0,0,0,-,0,38,7,6,0,-,-,13,151,0,"service terms for surya's solar cuddalore. understand our installation policies, warranties, and jurisdiction details before booking.",
https://www.suryassolar.com/blog/2026-01-08-solar-roi-calculator-break-even-analysis,Solar ROI Calculator 2026: When Will You Break Even? (3 Years or 5 Years?) | Surya's Solar,88,0.017534865365391242,n/a,2,200,0.112,0,1,1,1,0,Canonical to other page,0,11,12,6,0,-,-,16,238,2,"stop guessing the savings. we present a detailed, audited financial model for a standard cuddalore home. see how inflation, tneb rate hikes, and subsidy allow you to recover your full investment in just 3.2 years, followed by 2 million rupees in lifetim...",
https://www.suryassolar.com/blog/2026-01-04-how-to-get-tneb-net-meter-cuddalore-2026,How to Get TNEB Net Meter in Cuddalore (2026 Process & Timeline) | Surya's Solar,85,0.01745226447872304,n/a,2,200,0.11,0,1,1,1,0,Canonical to other page,0,11,12,6,0,-,-,16,238,2,"struggling with tneb paperwork? we decode the 2026 net metering process in cuddalore. learn the exact documents needed, official fees, ae inspection checklist, and how to track your application online.",
https://www.suryassolar.com/blog/2026-01-01-pm-surya-ghar-scheme-cuddalore-2026,PM Surya Ghar Scheme 2026: The Ultimate Guide to Solar Subsidy in Cuddalore | Surya's Solar,81,0.016960485818523247,n/a,2,200,0.018,0,1,1,1,0,Canonical to other page,0,10,12,7,0,-,-,16,238,3,"comprehensive 2026 guide: how to claim up to ₹78,000 subsidy for rooftop solar in cuddalore. we cover the new eligibility rules, step-by-step national portal application, tneb net metering process, and common rejection reasons.",
