Sitemap URL,Link URL,Issue Type,Line in Sitemap,Discovered
https://www.suryassolar.com/sitemap.xml,https://suryassolar.com/blog/2026-01-02-is-3kw-solar-enough-for-3bhk-2026,Redirect,—,23 Apr 2026 (08:13 UTC)
https://www.suryassolar.com/sitemap.xml,https://suryassolar.com/blog/2025-12-01-residential-solar-payback-roi-tamil-nadu,Redirect,—,30 Dec 2025 (18:23 UTC)
https://www.suryassolar.com/sitemap.xml,https://suryassolar.com/blog/2026-01-14-solar-dc-cable-quality-guide,Redirect,—,23 Apr 2026 (08:13 UTC)
https://www.suryassolar.com/sitemap.xml,https://suryassolar.com/blog/2026-01-05-coastal-solar-rust-proof-panels-cuddalore,Redirect,—,23 Apr 2026 (08:13 UTC)
https://www.suryassolar.com/sitemap.xml,https://suryassolar.com/blog/2026-01-07-mono-vs-bifacial-solar-panels,Redirect,—,23 Apr 2026 (08:13 UTC)
https://www.suryassolar.com/sitemap.xml,https://suryassolar.com/blog/2026-01-04-how-to-get-tneb-net-meter-cuddalore-2026,Redirect,—,23 Apr 2026 (08:13 UTC)
https://www.suryassolar.com/sitemap.xml,https://suryassolar.com/blog/2026-01-01-pm-surya-ghar-scheme-cuddalore-2026,Redirect,—,23 Apr 2026 (08:13 UTC)
https://www.suryassolar.com/sitemap.xml,https://suryassolar.com/blog/2025-12-02-pm-surya-ghar-subsidy-tamil-nadu-puducherry,Redirect,—,30 Dec 2025 (18:23 UTC)
https://www.suryassolar.com/sitemap.xml,https://suryassolar.com/blog/2026-01-10-solar-maintenance-guide-cuddalore,Redirect,—,23 Apr 2026 (08:13 UTC)
https://www.suryassolar.com/sitemap.xml,https://suryassolar.com/blog/2026-01-06-on-grid-vs-hybrid-solar-tamil-nadu,Redirect,—,23 Apr 2026 (08:13 UTC)
https://www.suryassolar.com/sitemap.xml,https://suryassolar.com/blog,Redirect,—,30 Dec 2025 (18:23 UTC)
https://www.suryassolar.com/sitemap.xml,https://suryassolar.com/blog/2025-12-04-on-grid-vs-off-grid-vs-hybrid-solar-tamil-nadu,Redirect,—,30 Dec 2025 (18:23 UTC)
https://www.suryassolar.com/sitemap.xml,https://suryassolar.com/blog/2026-01-11-future-of-solar-tamil-nadu-trends,Redirect,—,23 Apr 2026 (08:13 UTC)
https://www.suryassolar.com/sitemap.xml,https://suryassolar.com/about,Redirect,—,30 Dec 2025 (18:23 UTC)
https://www.suryassolar.com/sitemap.xml,https://suryassolar.com/blog/2025-12-04-solar-myths-vs-facts-tamil-nadu,Redirect,—,30 Dec 2025 (18:23 UTC)
https://www.suryassolar.com/sitemap.xml,https://suryassolar.com/blog/2026-01-12-solar-shadow-analysis-guide-cuddalore,Redirect,—,23 Apr 2026 (08:13 UTC)
https://www.suryassolar.com/sitemap.xml,https://suryassolar.com/contact,Redirect,—,30 Dec 2025 (18:23 UTC)
https://www.suryassolar.com/sitemap.xml,https://suryassolar.com/blog/2026-01-19-commercial-solar-tax-benefits,Redirect,—,23 Apr 2026 (08:13 UTC)
https://www.suryassolar.com/sitemap.xml,https://suryassolar.com/blog/2025-12-02-solar-inverter-guide-tamil-nadu-puducherry,Redirect,—,30 Dec 2025 (18:23 UTC)
https://www.suryassolar.com/sitemap.xml,https://suryassolar.com/blog/2026-01-03-solar-emi-loans-tamil-nadu-2026,Redirect,—,23 Apr 2026 (08:13 UTC)
